position,id,title,model,prompt,precision,recall,hall,miss,t-precision,t-recall,t-hall,t-miss,connectivity
284,113,Langer_serial_SkyShowtime,local:bielik-11b-v3.0-instruct,default_pl/new_graph,1,0.462,0 | 12,14 | 26,1,0.182,0 | 12,54 | 66,0.857
300,122,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:bielik-11b-v3.0-instruct,default_pl/new_graph,0.846,0.524,2 | 13,10 | 21,0.692,0.25,4 | 13,27 | 36,0.077
317,132,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:bielik-11b-v3.0-instruct,default_pl/new_graph,1,0.449,0 | 22,27 | 49,0.864,0.271,3 | 22,51 | 70,0.917
284,112,Langer_serial_SkyShowtime,local:meta-llama-3.1-8b-instruct,default_pl/new_graph,1,0.452,0 | 14,17 | 31,0.929,0.197,1 | 14,53 | 66,1
300,121,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:meta-llama-3.1-8b-instruct,default_pl/new_graph,0.286,0.125,5 | 7,14 | 16,0.429,0.083,4 | 7,33 | 36,0.25
317,131,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:meta-llama-3.1-8b-instruct,default_pl/new_graph,0.933,0.483,1 | 15,15 | 29,0.733,0.157,4 | 15,59 | 70,1
284,111,Langer_serial_SkyShowtime,local:mistralai/mistral-7b-instruct-v0.3,default_pl/new_graph,0.909,0.556,2 | 22,16 | 36,0.591,0.197,9 | 22,53 | 66,0.281
300,110,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:mistralai/mistral-7b-instruct-v0.3,default_pl/new_graph,1,0.455,0 | 10,12 | 22,0.4,0.111,6 | 10,32 | 36,0.833
317,130,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:mistralai/mistral-7b-instruct-v0.3,default_pl/new_graph,0.917,0.324,1 | 12,23 | 34,0.833,0.143,2 | 12,60 | 70,0.6
284,114,Langer_serial_SkyShowtime,local:qwen/qwen3-vl-4b,default_pl/new_graph,0.74,0.712,13 | 50,15 | 52,0.68,0.515,16 | 50,32 | 66,0.952
300,123,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:qwen/qwen3-vl-4b,default_pl/new_graph,0.92,0.676,2 | 25,11 | 34,0.68,0.472,8 | 25,19 | 36,0.278
317,133,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:qwen/qwen3-vl-4b,default_pl/new_graph,0.649,0.617,20 | 57,23 | 60,0.667,0.543,19 | 57,32 | 70,0.203
284,115,Langer_serial_SkyShowtime,local:qwen/qwen3-vl-8b,default_pl/new_graph,0.968,0.625,1 | 31,18 | 48,0.774,0.364,7 | 31,42 | 66,0.938
300,124,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,local:qwen/qwen3-vl-8b,default_pl/new_graph,0.818,0.562,4 | 22,14 | 32,0.818,0.5,4 | 22,18 | 36,0.182
317,134,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,local:qwen/qwen3-vl-8b,default_pl/new_graph,0.853,0.518,5 | 34,27 | 56,0.794,0.386,7 | 34,43 | 70,1
284,116,Langer_serial_SkyShowtime,qwen3-14b,default_pl/new_graph,0.59,0.479,16 | 39,25 | 48,0.667,0.394,13 | 39,40 | 66,1
300,128,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-14b,default_pl/new_graph,0.957,0.667,1 | 23,11 | 33,0.826,0.528,4 | 23,17 | 36,0.407
317,138,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-14b,default_pl/new_graph,0.902,0.673,4 | 41,18 | 55,0.976,0.571,1 | 41,30 | 70,0.8
