position,id,title,model,prompt,precision,recall,hall,miss,t-precision,t-recall,t-hall,t-miss,connectivity
284,119,Langer_serial_SkyShowtime,google/gemma-4-26b-a4b-it,default_pl/new_graph,0.958,0.561,1 | 24,18 | 41,0.958,0.348,1 | 24,43 | 66,1
300,127,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-26b-a4b-it,default_pl/new_graph,0.864,0.633,3 | 22,11 | 30,0.864,0.528,3 | 22,17 | 36,0.905
317,136,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-26b-a4b-it,default_pl/new_graph,0.907,0.79,5 | 54,13 | 62,0.87,0.671,7 | 54,23 | 70,0.855
284,151,Langer_serial_SkyShowtime,google/gemma-4-31b-it,default_pl/new_graph,0.909,0.625,2 | 22,12 | 32,1,0.333,0 | 22,44 | 66,1
300,155,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-31b-it,default_pl/new_graph,1,0.71,0 | 22,9 | 31,0.909,0.556,2 | 22,16 | 36,1
317,159,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-31b-it,default_pl/new_graph,1,0.767,0 | 46,14 | 60,0.913,0.6,4 | 46,28 | 70,1
284,152,Langer_serial_SkyShowtime,mistralai/mistral-small-3.2-24b-instruct,default_pl/new_graph,0.979,0.648,1 | 47,25 | 71,0.936,0.667,3 | 47,22 | 66,1
300,156,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,mistralai/mistral-small-3.2-24b-instruct,default_pl/new_graph,0.778,0.636,6 | 27,12 | 33,0.778,0.583,6 | 27,15 | 36,0.429
317,160,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,mistralai/mistral-small-3.2-24b-instruct,default_pl/new_graph,1,0.788,0 | 52,14 | 66,0.865,0.643,7 | 52,25 | 70,0.849
284,153,Langer_serial_SkyShowtime,nvidia/nemotron-3-nano-30b-a3b,default_pl/new_graph,1,0.536,0 | 15,13 | 28,1,0.227,0 | 15,51 | 66,0.348
300,157,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,nvidia/nemotron-3-nano-30b-a3b,default_pl/new_graph,1,0.389,0 | 7,11 | 18,0.714,0.139,2 | 7,31 | 36,0.5
317,161,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,nvidia/nemotron-3-nano-30b-a3b,default_pl/new_graph,1,0.227,0 | 5,17 | 22,1,0.071,0 | 5,65 | 70,0.714
284,117,Langer_serial_SkyShowtime,qwen3-30b-a3b-instruct-2507,default_pl/new_graph,0.8,0.488,5 | 25,21 | 41,0.96,0.364,1 | 25,42 | 66,0.786
300,125,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-30b-a3b-instruct-2507,default_pl/new_graph,0.921,0.795,3 | 38,9 | 44,0.553,0.583,17 | 38,15 | 36,0.872
317,137,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-30b-a3b-instruct-2507,default_pl/new_graph,0.939,0.534,2 | 33,27 | 58,0.848,0.4,5 | 33,42 | 70,0.882
284,154,Langer_serial_SkyShowtime,qwen3-32b,default_pl/new_graph,0.75,0.638,10 | 40,17 | 47,0.9,0.545,4 | 40,30 | 66,1
300,158,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-32b,default_pl/new_graph,0.708,0.515,7 | 24,16 | 33,0.667,0.444,8 | 24,20 | 36,0.818
317,162,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-32b,default_pl/new_graph,0.925,0.607,3 | 40,24 | 61,0.8,0.457,8 | 40,38 | 70,1
